word,donald-trump,kamala-harris,rfk-jr,scale
18,1.0,0.0,0.0,0.0025278404044544647
minutes,1.0,0.0,0.0,0.0025278404044544647
venezuela,1.0,0.0,0.0,0.002425360388057662
month,0.39443961772371855,0.6055603822762815,0.0,0.00303113616780117
iii,1.0,0.0,0.0,0.00235704037712646
korea,0.34855464316710055,0.6514453568328994,0.0,0.003381163360369398
maga,1.0,0.0,0.0,0.00235704037712646
texas,0.39100803834440057,0.6089919616555993,0.0,0.0030140561650683698
13,1.0,0.0,0.0,0.0023228803716608595
20,0.43798416126709866,0.5620158387329013,0.0,0.002612788964301741
act,0.434286045567859,0.565713954432141,0.0,0.0025957089615689403
europe,0.26470256105356377,0.4444809317801272,0.29081650716630897,0.0027530779466795065
xi,1.0,0.0,0.0,0.002186240349798456
500,0.34963142670523467,0.0,0.6503685732947653,0.0030776414531912474
party,0.10071768405773729,0.0,0.8992823159422627,0.010683726321085562
medicare,1.0,0.0,0.0,0.0021179203388672543
mike,1.0,0.0,0.0,0.0020837603334016535
60,1.0,0.0,0.0,0.0020496003279360524
old,0.4604268809673019,0.0,0.539573119032698,0.0022257609325829182
30,0.35442468508521224,0.6455753149147877,0.0,0.0028432561377403653
security,0.4069707374882251,0.5930292625117748,0.0,0.0024761489424393376
social,1.0,0.0,0.0,0.0020154403224704517
11,1.0,0.0,0.0,0.0019812803170048505
california,0.0,0.810587798998702,0.189412201001298,0.006340461502829282
yesterday,0.0,1.0,0.0,0.008076358296622614
africa,0.0,1.0,0.0,0.006607929515418502
afternoon,0.0,1.0,0.0,0.006607929515418502
zelenskyy,0.0,1.0,0.0,0.006607929515418502
munich,0.0,1.0,0.0,0.005873715124816446
african,0.0,1.0,0.0,0.004405286343612335
jewish,0.0,1.0,0.0,0.004405286343612335
nato,0.0,1.0,0.0,0.004405286343612335
past,0.0,0.5790449698655541,0.42095503013444596,0.0038039241966260234
russian,0.0,1.0,0.0,0.004405286343612335
sunset,0.0,1.0,0.0,0.004405286343612335
zambia,0.0,1.0,0.0,0.004405286343612335
clyburn,0.0,1.0,0.0,0.003671071953010279
lusaka,0.0,1.0,0.0,0.003671071953010279
nasa,0.0,1.0,0.0,0.003671071953010279
senate,0.0,1.0,0.0,0.003671071953010279
ukrainian,0.0,1.0,0.0,0.003671071953010279
00,0.0,0.5500990971151729,0.44990090288482715,0.002669389549819003
1849,0.0,1.0,0.0,0.002936857562408223
21st,0.0,1.0,0.0,0.002936857562408223
24,0.0,1.0,0.0,0.002936857562408223
